What is your lunar module's name? 
"'Snoopy', Houston. You're GO for powered descent."

     Time     |   Altitude   |   Velocity   |     Fuel     |   Throttle   
        355 s |   32461.10 m |  -148.11 m/s |      0.00 kg | 0
        356 s |   32311.37 m |  -149.74 m/s |      0.00 kg | 0
        357 s |   32160.00 m |  -151.37 m/s |      0.00 kg | 0
        358 s |   32007.00 m |  -153.00 m/s |      0.00 kg | 0
        359 s |   31852.38 m |  -154.63 m/s |      0.00 kg | 0
        360 s |   31696.12 m |  -156.26 m/s |      0.00 kg | 0
        361 s |   31538.23 m |  -157.89 m/s |      0.00 kg | 0
        362 s |   31378.72 m |  -159.52 m/s |      0.00 kg | 0
        363 s |   31217.57 m |  -161.15 m/s |      0.00 kg | 0
        364 s |   31054.79 m |  -162.78 m/s |      0.00 kg | 0
        365 s |   30890.39 m |  -164.41 m/s |      0.00 kg | 0
        366 s |   30724.35 m |  -166.04 m/s |      0.00 kg | 0
        367 s |   30556.68 m |  -167.67 m/s |      0.00 kg | 0
        368 s |   30387.39 m |  -169.30 m/s |      0.00 kg | 0
        369 s |   30216.46 m |  -170.93 m/s |      0.00 kg | 0
        370 s |   30043.90 m |  -172.56 m/s |      0.00 kg | 0
        371 s |   29869.72 m |  -174.19 m/s |      0.00 kg | 0
        372 s |   29693.90 m |  -175.82 m/s |      0.00 kg | 0
        373 s |   29516.45 m |  -177.45 m/s |      0.00 kg | 0
        374 s |   29337.38 m |  -179.08 m/s |      0.00 kg | 0
        375 s |   29156.67 m |  -180.71 m/s |      0.00 kg | 0
        376 s |   28974.33 m |  -182.34 m/s |      0.00 kg | 0
        377 s |   28790.37 m |  -183.97 m/s |      0.00 kg | 0
        378 s |   28604.77 m |  -185.60 m/s |      0.00 kg | 0
        379 s |   28417.54 m |  -187.23 m/s |      0.00 kg | 0
        380 s |   28228.69 m |  -188.86 m/s |      0.00 kg | 0
        381 s |   28038.20 m |  -190.49 m/s |      0.00 kg | 0
        382 s |   27846.08 m |  -192.12 m/s |      0.00 kg | 0
        383 s |   27652.34 m |  -193.75 m/s |      0.00 kg | 0
        384 s |   27456.96 m |  -195.38 m/s |      0.00 kg | 0
        385 s |   27259.95 m |  -197.01 m/s |      0.00 kg | 0
        386 s |   27061.32 m |  -198.64 m/s |      0.00 kg | 0
        387 s |   26861.05 m |  -200.27 m/s |      0.00 kg | 0
        388 s |   26659.15 m |  -201.90 m/s |      0.00 kg | 0
        389 s |   26455.63 m |  -203.53 m/s |      0.00 kg | 0
        390 s |   26250.47 m |  -205.16 m/s |      0.00 kg | 0
        391 s |   26043.69 m |  -206.79 m/s |      0.00 kg | 0
        392 s |   25835.27 m |  -208.42 m/s |      0.00 kg | 0
        393 s |   25625.22 m |  -210.05 m/s |      0.00 kg | 0
        394 s |   25413.55 m |  -211.68 m/s |      0.00 kg | 0
        395 s |   25200.24 m |  -213.31 m/s |      0.00 kg | 0
        396 s |   24985.30 m |  -214.94 m/s |      0.00 kg | 0
        397 s |   24768.74 m |  -216.57 m/s |      0.00 kg | 0
        398 s |   24550.54 m |  -218.20 m/s |      0.00 kg | 0
        399 s |   24330.71 m |  -219.83 m/s |      0.00 kg | 0
        400 s |   24109.26 m |  -221.46 m/s |      0.00 kg | 0
        401 s |   23886.17 m |  -223.09 m/s |      0.00 kg | 0
        402 s |   23661.45 m |  -224.72 m/s |      0.00 kg | 0
        403 s |   23435.11 m |  -226.35 m/s |      0.00 kg | 0
